순위,팀명,경기,승,패,무,승률,게임차,연도,홈승,홈무,홈패,원정승,원정무,원정패,최근승,최근무,최근패,홈승률,원정승률,홈_원정_승률차,시즌진행중,AVG_타자,PA_타자,AB_타자,R_타자,H_타자,2B_타자,3B_타자,HR_타자,TB_타자,RBI_타자,SAC_타자,SF_타자,HR/G_타자,득점/G_타자,ERA_투수,W_투수,L_투수,SV_투수,HLD_투수,WPCT_투수,IP_투수,H_투수,HR_투수,BB_투수,HBP_투수,SO_투수,R_투수,ER_투수,WHIP_투수,K/9_투수,BB/9_투수,HR/9_투수,E_수비,PKO_수비,PO_수비,A_수비,DP_수비,FPCT_수비,PB_수비,SB_수비,CS_수비,CS%_수비,SBA_주루,SB_주루,CS_주루,SB%_주루,OOB_주루,PKO_주루,가을야구,가을야구_확률,예측_진출
1,KT,22,16,6,0,0.727,0.0,2026,8.0,0.0,4.0,8.0,0.0,2.0,8.0,0.0,2.0,0.667,0.8,-0.133,True,0.289,906,778,139,225,45,4,18,332,131,9,8,0.82,6.32,3.83,16,6,8,13,0.727,200.0,208,14,73,13,178,95,85,1.41,8.01,3.28,0.63,17,0,600,222,24,0.98,0,22,5,18.5,15,8,7,53.3,5,0,1,0.6284231165590167,1
2,LG,21,14,7,0,0.667,1.5,2026,9.0,0.0,5.0,5.0,0.0,2.0,7.0,0.0,3.0,0.643,0.714,-0.071,True,0.265,825,688,96,182,30,1,12,250,93,12,9,0.57,4.57,3.47,14,7,11,14,0.667,187.0,183,15,67,9,153,78,72,1.34,7.36,3.22,0.72,12,2,561,202,16,0.985,0,15,6,28.6,26,19,7,73.1,10,1,1,0.9649376563367277,1
3,SSG,21,13,8,0,0.619,2.5,2026,6.0,0.0,4.0,7.0,0.0,4.0,6.0,0.0,4.0,0.6,0.636,-0.036,True,0.266,851,722,119,192,42,2,22,304,110,7,7,1.05,5.67,4.21,13,8,5,6,0.619,186.0,181,17,97,15,157,103,87,1.49,7.6,4.69,0.82,20,1,558,215,23,0.975,1,10,5,33.3,21,18,3,85.7,5,0,1,0.9711571913968385,1
4,삼성,21,12,8,1,0.6,3.0,2026,6.0,1.0,6.0,6.0,0.0,2.0,6.0,0.0,4.0,0.5,0.75,-0.25,True,0.269,860,728,115,196,36,7,15,291,107,4,5,0.71,5.48,4.26,12,8,5,13,0.6,190.0,183,21,89,17,140,95,90,1.43,6.63,4.22,0.99,11,0,570,232,19,0.986,3,18,5,21.7,18,12,6,66.7,4,2,1,0.5816528031327276,1
5,KIA,22,10,12,0,0.455,6.0,2026,5.0,0.0,3.0,5.0,0.0,9.0,5.0,0.0,5.0,0.625,0.357,0.268,True,0.266,874,744,109,198,40,0,17,289,105,14,8,0.77,4.95,4.9,10,12,4,16,0.455,193.0,193,21,90,13,147,112,105,1.47,6.85,4.2,0.98,13,0,579,193,13,0.983,2,18,4,18.2,12,10,2,83.3,4,2,1,0.2078487919165397,0
6,한화,21,9,12,0,0.429,6.5,2026,2.0,0.0,9.0,7.0,0.0,3.0,3.0,0.0,7.0,0.182,0.7,-0.518,True,0.271,870,757,124,205,31,4,18,298,117,7,7,0.86,5.9,5.36,9,12,2,16,0.429,188.0,208,13,117,17,172,131,112,1.73,8.23,5.6,0.62,25,1,564,190,24,0.968,2,9,3,25.0,19,13,6,68.4,4,2,0,0.11739878592261792,0
6,NC,21,9,12,0,0.429,6.5,2026,6.0,0.0,6.0,3.0,0.0,6.0,3.0,0.0,7.0,0.5,0.333,0.167,True,0.252,829,713,98,180,33,0,20,273,89,7,1,0.95,4.67,4.23,9,12,2,10,0.429,183.0,154,20,90,14,147,91,86,1.33,7.23,4.43,0.98,12,2,549,198,15,0.984,1,11,3,21.4,39,33,6,84.6,7,1,0,0.10908435267111598,0
6,두산,22,9,12,1,0.429,6.5,2026,4.0,0.0,4.0,5.0,1.0,8.0,5.0,0.0,5.0,0.5,0.385,0.115,True,0.25,868,752,100,188,36,5,18,288,92,10,10,0.82,4.55,4.52,9,12,4,5,0.429,195.0,197,16,95,14,185,116,98,1.5,8.54,4.38,0.74,17,0,585,195,18,0.979,1,12,1,7.7,19,16,3,84.2,3,1,0,0.02362040009793685,0
9,롯데,21,7,14,0,0.333,8.5,2026,2.0,0.0,8.0,5.0,0.0,6.0,3.0,0.0,7.0,0.2,0.455,-0.255,True,0.25,788,711,65,178,32,2,17,265,61,6,6,0.81,3.1,4.64,7,14,4,6,0.333,184.3333,187,13,95,11,170,106,95,1.53,8.3,4.64,0.63,14,2,553,194,13,0.982,1,17,8,32.0,18,14,4,77.8,12,0,0,0.031694368524285955,0
10,키움,22,7,15,0,0.318,9.0,2026,4.0,0.0,5.0,3.0,0.0,10.0,4.0,0.0,6.0,0.444,0.231,0.213,True,0.232,833,736,74,171,36,1,11,242,67,8,6,0.5,3.36,4.74,7,15,6,14,0.318,191.6667,221,18,78,10,151,112,101,1.56,7.09,3.66,0.85,22,1,575,197,20,0.972,0,14,4,22.2,6,6,0,100.0,6,0,0,0.0066672771603951755,0
