순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,연도,K/9,BB/9,K/BB,HR/9,FIP_raw,규정이닝_충족,시즌진행중,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,안우진,키움,2.11,30,15,8,0,0,0.652,196.0,131,4,55,4,224,51,46,0.95,2022,10.29,2.53,4.07,0.18,-1.179,True,,30,15,0,1,0,0,10,160,187,0.86
2,김광현,SSG,2.13,28,13,3,0,0,0.813,173.3333,141,10,45,5,153,48,41,1.07,2022,7.94,2.34,3.4,0.52,-0.237,True,,28,13,0,0,0,0,22,181,163,1.11
3,플럿코,LG,2.39,28,15,5,0,0,0.75,162.0,125,13,38,2,149,53,43,1.01,2022,8.28,2.11,3.92,0.72,-0.093,True,,28,15,0,0,0,0,14,105,221,0.48
4,수아레즈,삼성,2.49,30,6,8,0,0,0.429,173.6667,151,7,50,4,159,61,48,1.16,2022,8.24,2.59,3.18,0.36,-0.443,True,,29,6,0,0,0,0,16,194,149,1.3
5,켈리,LG,2.54,27,16,4,0,0,0.8,166.3333,144,10,35,2,153,50,47,1.08,2022,8.28,1.89,4.37,0.54,-0.427,True,,27,16,0,0,0,0,14,179,149,1.2
6,요키시,키움,2.57,30,10,8,0,0,0.556,185.3333,169,8,33,5,154,61,53,1.09,2022,7.48,1.6,4.67,0.39,-0.567,True,,30,10,0,0,0,0,14,238,135,1.76
7,폰트,SSG,2.69,28,13,6,0,0,0.684,184.0,141,18,34,6,170,63,55,0.95,2022,8.32,1.66,5.0,0.88,-0.022,True,,28,13,0,1,0,0,5,153,222,0.69
8,루친스키,NC,2.97,31,10,12,0,0,0.455,193.6667,184,14,34,8,194,77,64,1.13,2022,9.02,1.58,5.71,0.65,-0.537,True,,31,10,0,0,0,0,13,208,157,1.32
9,뷰캐넌,삼성,3.04,26,11,8,0,0,0.579,160.0,176,10,39,8,117,61,54,1.34,2022,6.58,2.19,3.0,0.56,0.081,True,,26,11,0,1,0,0,15,220,122,1.8
10,소형준,KT,3.05,27,13,6,0,0,0.684,171.3333,158,8,39,5,117,68,58,1.15,2022,6.15,2.05,3.0,0.42,-0.076,True,,27,13,0,0,0,0,19,230,146,1.58
11,고영표,KT,3.26,28,13,8,0,0,0.619,182.3333,191,7,23,16,156,69,66,1.17,2022,7.7,1.14,6.78,0.35,-0.834,True,,28,13,0,1,0,0,19,238,128,1.86
12,스탁,두산,3.6,29,9,10,0,0,0.474,165.0,162,9,83,10,138,87,66,1.48,2022,7.53,4.53,1.66,0.49,0.545,True,,29,9,0,0,0,0,25,196,130,1.51
12,최원준,두산,3.6,30,8,13,0,0,0.381,165.0,183,21,37,7,113,80,66,1.33,2022,6.16,2.02,3.05,1.15,0.958,True,,30,8,0,0,0,0,11,124,243,0.51
14,반즈,롯데,3.62,31,12,12,0,0,0.5,186.3333,176,8,47,18,160,87,75,1.2,2022,7.73,2.27,3.4,0.39,-0.403,True,,31,12,0,0,0,0,16,198,180,1.1
15,곽빈,두산,3.78,27,8,9,0,0,0.471,147.6667,143,13,60,11,138,69,62,1.37,2022,8.41,3.66,2.3,0.79,0.494,True,,27,8,0,0,0,0,8,118,168,0.7
16,양현종,KIA,3.85,30,12,7,0,0,0.632,175.3333,170,14,50,3,141,86,75,1.25,2022,7.24,2.57,2.82,0.72,0.285,True,,30,12,0,0,0,0,12,181,189,0.96
17,이의리,KIA,3.86,29,10,10,0,0,0.5,154.0,128,18,74,9,161,79,66,1.31,2022,9.41,4.32,2.18,1.05,0.87,True,,28,10,0,0,0,0,7,131,164,0.8
18,박세웅,롯데,3.89,28,10,11,0,0,0.476,157.3333,179,8,32,8,146,80,68,1.34,2022,8.35,1.83,4.56,0.46,-0.585,True,,28,10,0,0,0,0,16,195,111,1.76
19,원태인,삼성,3.92,27,10,8,0,0,0.556,165.3333,175,16,38,4,130,75,72,1.29,2022,7.08,2.07,3.42,0.87,0.375,True,,27,10,0,0,0,0,11,170,178,0.96
20,김민우,한화,4.36,29,6,11,0,0,0.353,163.0,143,16,84,8,129,82,79,1.39,2022,7.12,4.64,1.54,0.88,1.239,True,,29,6,0,1,0,0,16,155,181,0.86
21,오원석,SSG,4.5,31,6,8,0,0,0.429,144.0,158,16,58,3,112,79,72,1.5,2022,7.0,3.62,1.93,1.0,1.097,True,,24,5,1,0,2,0,17,137,160,0.86
22,데스파이네,KT,4.53,30,8,12,0,0,0.4,163.0,198,14,48,9,123,94,82,1.51,2022,6.79,2.65,2.56,0.77,0.491,True,,29,8,0,0,0,0,22,202,133,1.52
1,네일,KIA,2.53,26,12,5,0,0,0.706,149.3333,154,11,35,9,138,69,42,1.27,2023,8.32,2.11,3.94,0.66,-0.188,True,,26,12,0,0,0,0,16,188,115,1.63
2,하트,NC,2.69,26,13,3,0,0,0.813,157.0,124,11,38,11,182,51,47,1.03,2023,10.43,2.18,4.79,0.63,-0.682,True,,26,13,0,0,0,0,7,142,131,1.08
3,반즈,롯데,3.35,25,9,6,0,0,0.6,150.6667,140,18,46,5,171,59,56,1.23,2023,10.21,2.75,3.72,1.08,0.199,True,,25,9,0,0,0,0,18,154,103,1.5
4,후라도,키움,3.36,30,10,8,0,0,0.556,190.3333,185,19,32,9,169,78,71,1.14,2023,7.99,1.51,5.28,0.9,0.026,True,,30,10,0,0,0,0,21,211,166,1.27
5,코너,삼성,3.43,28,11,6,0,0,0.647,160.0,135,21,40,19,158,67,61,1.09,2023,8.89,2.25,3.95,1.18,0.481,True,,28,11,0,1,0,0,7,123,186,0.66
6,원태인,삼성,3.66,28,15,6,0,0,0.714,159.6667,150,17,42,7,119,68,65,1.2,2023,6.71,2.37,2.83,0.96,0.683,True,,28,15,0,1,0,0,6,160,186,0.86
7,헤이수스,키움,3.68,30,13,11,0,0,0.542,171.3333,171,22,44,14,178,78,70,1.25,2023,9.35,2.31,4.05,1.16,0.362,True,,30,13,0,0,0,0,12,149,169,0.88
8,손주영,LG,3.79,28,9,10,0,1,0.474,144.6667,157,11,54,10,112,71,61,1.46,2023,6.97,3.36,2.07,0.68,0.56,True,,27,9,0,0,0,0,16,173,125,1.38
9,레예스,삼성,3.81,26,11,4,0,0,0.733,144.0,159,15,30,7,114,65,61,1.31,2023,7.12,1.88,3.8,0.94,0.396,True,,26,11,0,0,0,0,7,144,158,0.91
10,윌커슨,롯데,3.84,32,12,8,0,0,0.6,196.6667,210,18,27,2,167,90,84,1.21,2023,7.64,1.24,6.19,0.82,-0.097,True,,32,12,0,1,0,0,11,175,232,0.75
11,류현진,한화,3.87,28,10,8,0,0,0.556,158.3333,182,12,33,3,135,78,68,1.36,2023,7.67,1.88,4.09,0.68,-0.095,True,,28,10,0,0,0,0,18,182,140,1.3
12,양현종,KIA,4.1,29,11,5,0,0,0.688,171.3333,174,21,41,6,129,86,78,1.25,2023,6.78,2.15,3.15,1.1,0.805,True,,29,11,0,2,0,0,14,174,201,0.87
13,쿠에바스,KT,4.1,31,7,12,0,0,0.368,173.3333,158,17,59,7,154,86,79,1.25,2023,8.0,3.06,2.61,0.88,0.519,True,,31,7,0,0,0,0,9,155,199,0.78
14,엔스,LG,4.19,30,13,6,0,0,0.684,167.6667,169,16,50,6,157,84,78,1.31,2023,8.43,2.68,3.14,0.86,0.262,True,,30,13,0,0,0,0,12,167,156,1.07
15,곽빈,두산,4.24,30,15,9,0,0,0.625,167.6667,142,11,76,6,154,83,79,1.3,2023,8.27,4.08,2.03,0.59,0.376,True,,30,15,0,0,0,0,10,140,192,0.73
16,하영민,키움,4.37,28,9,8,0,0,0.529,150.3333,168,8,58,5,101,82,73,1.5,2023,6.05,3.47,1.74,0.48,0.506,True,,28,9,0,0,0,0,13,155,182,0.85
17,벤자민,KT,4.63,28,11,8,0,0,0.579,149.6667,141,28,48,4,156,90,77,1.26,2023,9.38,2.89,3.25,1.68,1.31,True,,28,11,0,0,0,0,8,143,141,1.01
18,박세웅,롯데,4.78,30,6,11,0,0,0.353,173.3333,188,13,56,11,124,103,92,1.41,2023,6.44,2.91,2.21,0.68,0.513,True,,30,6,0,0,0,0,18,205,172,1.19
19,엄상백,KT,4.88,29,13,10,0,0,0.565,156.6667,164,26,42,7,159,88,85,1.31,2023,9.13,2.41,3.79,1.49,0.932,True,,29,13,0,0,0,0,4,105,193,0.54
20,김광현,SSG,4.93,31,12,10,0,0,0.545,162.3333,162,24,73,6,154,95,89,1.45,2023,8.54,4.05,2.11,1.33,1.374,True,,31,12,0,0,0,0,18,157,152,1.03
1,네일,KIA,2.53,26,12,5,0,0,0.706,149.3333,154,11,35,9,138,69,42,1.27,2024,8.32,2.11,3.94,0.66,-0.188,True,,26,12,0,0,0,0,16,188,115,1.63
