순위,팀명,경기,승,패,무,승률,게임차,연도,홈승,홈무,홈패,원정승,원정무,원정패,최근승,최근무,최근패,홈승률,원정승률,홈_원정_승률차,시즌진행중,AVG_타자,PA_타자,AB_타자,R_타자,H_타자,2B_타자,3B_타자,HR_타자,TB_타자,RBI_타자,SAC_타자,SF_타자,HR/G_타자,득점/G_타자,ERA_투수,W_투수,L_투수,SV_투수,HLD_투수,WPCT_투수,IP_투수,H_투수,HR_투수,BB_투수,HBP_투수,SO_투수,R_투수,ER_투수,WHIP_투수,K/9_투수,BB/9_투수,HR/9_투수,E_수비,PKO_수비,PO_수비,A_수비,DP_수비,FPCT_수비,PB_수비,SB_수비,CS_수비,CS%_수비,SBA_주루,SB_주루,CS_주루,SB%_주루,OOB_주루,PKO_주루
1,SSG,144,88,52,4,0.629,0.0,2022,49.0,0.0,23.0,39.0,4.0,29.0,4.0,0.0,6.0,0.681,0.574,0.107,,0.254,5642,4893,720,1245,242,18,138,1937,682,77,47,0.96,5.0,3.87,88,52,45,68,0.629,1301.3333,1223,130,457,65,1023,622,560,1.29,7.08,3.16,0.9,109,9,3904,1455,138,0.98,4,107,31,22.5,137,98,39,71.5,42,4
2,키움,144,80,62,2,0.563,9.0,2022,39.0,1.0,32.0,41.0,1.0,30.0,5.0,0.0,5.0,0.549,0.577,-0.028,,0.252,5655,4953,621,1250,203,33,94,1801,578,49,34,0.65,4.31,3.79,80,62,48,84,0.563,1296.3333,1247,96,490,70,1010,610,546,1.34,7.01,3.4,0.67,118,3,3889,1549,134,0.979,7,85,42,33.1,83,63,20,75.9,42,8
3,LG,144,87,55,2,0.613,2.0,2022,38.0,1.0,33.0,49.0,1.0,22.0,4.0,0.0,6.0,0.535,0.69,-0.155,,0.269,5627,4927,715,1325,208,33,118,1953,674,49,46,0.82,4.97,3.33,87,55,43,107,0.613,1288.0,1179,94,451,59,1031,521,476,1.27,7.2,3.15,0.66,89,6,3864,1394,139,0.983,7,113,26,18.7,148,102,46,68.9,46,10
4,KT,144,80,62,2,0.563,9.0,2022,40.0,1.0,31.0,40.0,1.0,31.0,7.0,0.0,3.0,0.563,0.563,0.0,,0.254,5547,4864,631,1237,192,19,119,1824,588,70,44,0.83,4.38,3.51,80,62,37,65,0.563,1287.3333,1243,92,364,63,1074,562,502,1.25,7.51,2.54,0.64,97,13,3862,1425,132,0.982,8,69,26,27.4,123,89,34,72.4,38,6
5,KIA,144,70,73,1,0.49,19.5,2022,31.0,0.0,41.0,39.0,1.0,32.0,7.0,0.0,3.0,0.431,0.549,-0.118,,0.272,5703,5000,720,1361,250,19,113,1988,677,61,36,0.78,5.0,4.2,70,73,38,74,0.49,1279.6667,1286,120,526,67,1042,679,597,1.42,7.33,3.7,0.84,107,5,3839,1378,111,0.98,8,64,41,39.0,137,103,34,75.2,57,5
6,NC,144,67,74,3,0.475,21.5,2022,35.0,3.0,34.0,32.0,0.0,40.0,6.0,0.0,4.0,0.507,0.444,0.063,,0.257,5585,4899,646,1260,230,15,105,1835,613,50,47,0.73,4.49,3.9,67,74,25,54,0.475,1286.6667,1230,111,515,98,1168,642,557,1.36,8.17,3.6,0.78,127,4,3860,1360,115,0.976,9,60,42,41.2,139,100,39,71.9,56,7
7,삼성,144,66,76,2,0.465,23.0,2022,33.0,2.0,37.0,33.0,0.0,39.0,6.0,0.0,4.0,0.471,0.458,0.013,,0.27,5647,5023,663,1358,241,19,103,1946,627,83,41,0.72,4.6,4.29,66,76,34,71,0.465,1287.0,1370,129,478,66,971,695,613,1.44,6.79,3.34,0.9,118,9,3861,1448,125,0.978,6,51,35,40.7,118,91,27,77.1,50,6
8,롯데,144,64,76,4,0.457,24.0,2022,27.0,3.0,42.0,37.0,1.0,34.0,5.0,0.0,5.0,0.391,0.521,-0.13,,0.267,5534,4948,605,1320,227,16,106,1897,570,73,42,0.74,4.2,4.45,64,76,34,69,0.457,1280.6667,1373,84,492,80,1199,712,633,1.46,8.43,3.46,0.59,114,3,3842,1403,124,0.979,11,99,39,28.3,100,61,39,61.0,54,6
9,두산,144,60,82,2,0.423,29.0,2022,29.0,1.0,42.0,31.0,1.0,40.0,4.0,0.0,6.0,0.408,0.437,-0.029,,0.255,5510,4891,638,1249,210,12,101,1786,592,53,45,0.7,4.43,4.45,60,82,32,68,0.423,1279.3333,1336,117,555,70,977,721,632,1.48,6.87,3.9,0.82,117,3,3838,1394,128,0.978,13,95,34,26.4,130,90,40,69.2,55,4
10,한화,144,46,96,2,0.324,43.0,2022,28.0,0.0,44.0,18.0,2.0,52.0,3.0,0.0,7.0,0.389,0.257,0.132,,0.245,5513,4878,564,1196,217,19,88,1715,520,45,40,0.61,3.92,4.83,46,96,25,81,0.324,1268.3333,1314,112,602,83,974,759,680,1.51,6.91,4.27,0.79,134,7,3805,1406,111,0.975,8,121,51,29.7,142,93,49,65.5,49,6
