순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO,연도,SB%_calc
1,박찬호,KIA,130,50,42,8,84.0,7,0,2022,84.0
2,김혜성,키움,129,41,34,7,82.9,4,1,2022,82.9
3,최지훈,SSG,144,38,31,7,81.6,5,3,2022,81.6
4,김지찬,삼성,113,29,25,4,86.2,3,0,2022,86.2
5,박해민,LG,144,30,24,6,80.0,8,1,2022,80.0
6,심우준,KT,132,25,23,2,92.0,3,0,2022,92.0
7,조수행,두산,117,29,22,7,75.9,2,0,2022,75.9
8,박민우,NC,104,25,21,4,84.0,9,1,2022,84.0
9,오지환,LG,142,27,20,7,74.1,5,2,2022,74.1
9,하주석,한화,125,26,20,6,76.9,7,0,2022,76.9
11,배정대,KT,144,23,19,4,82.6,9,2,2022,82.6
11,터크먼,한화,144,30,19,11,63.3,2,1,2022,63.3
13,노수광,한화,117,23,17,6,73.9,8,3,2022,73.9
14,정수빈,두산,127,23,15,8,65.2,4,1,2022,65.2
14,피렐라,삼성,141,20,15,5,75.0,5,2,2022,75.0
14,추신수,SSG,112,20,15,5,75.0,5,1,2022,75.0
17,김기환,NC,73,16,14,2,87.5,1,3,2022,87.5
18,강승호,두산,134,18,13,5,72.2,2,1,2022,72.2
18,홍창기,LG,118,17,13,4,76.5,1,0,2022,76.5
18,김도영,KIA,103,16,13,3,81.3,7,0,2022,81.2
18,김선빈,KIA,140,15,13,2,86.7,10,0,2022,86.7
22,이용규,키움,86,14,12,2,85.7,7,0,2022,85.7
22,박성한,SSG,140,20,12,8,60.0,2,0,2022,60.0
22,최정,SSG,121,17,12,5,70.6,4,0,2022,70.6
22,마티니,NC,139,16,12,4,75.0,5,0,2022,75.0
22,소크라테스,KIA,127,19,12,7,63.2,5,1,2022,63.2
27,구자욱,삼성,99,12,11,1,91.7,4,1,2022,91.7
27,오태곤,SSG,130,15,11,4,73.3,1,0,2022,73.3
29,허경민,두산,121,13,10,3,76.9,6,1,2022,76.9
29,김성윤,삼성,48,12,10,2,83.3,1,1,2022,83.3
29,김주원,NC,96,13,10,3,76.9,2,1,2022,76.9
29,황성빈,롯데,102,22,10,12,45.5,0,3,2022,45.5
29,정은원,한화,140,16,10,6,62.5,4,0,2022,62.5
34,문성주,LG,106,15,9,6,60.0,6,1,2022,60.0
35,서건창,LG,77,11,8,3,72.7,2,0,2022,72.7
35,박승욱,롯데,100,10,8,2,80.0,5,0,2022,80.0
35,류지혁,KIA,127,12,8,4,66.7,4,0,2022,66.7
38,문보경,LG,126,7,7,0,100.0,5,2,2022,100.0
38,박준영,NC,75,9,7,2,77.8,2,0,2022,77.8
38,손아섭,NC,138,10,7,3,70.0,6,0,2022,70.0
38,안치홍,롯데,132,9,7,2,77.8,4,0,2022,77.8
38,피터스,롯데,85,11,7,4,63.6,4,1,2022,63.6
43,김민혁,KT,132,15,6,9,40.0,3,1,2022,40.0
43,황재균,KT,141,9,6,3,66.7,3,1,2022,66.7
43,김현준,삼성,118,9,6,3,66.7,6,0,2022,66.7
43,채은성,LG,126,13,6,7,46.2,3,0,2022,46.2
43,푸이그,키움,126,9,6,3,66.7,12,1,2022,66.7
43,최승민,NC,44,9,6,3,66.7,1,0,2022,66.7
43,전준우,롯데,120,9,6,3,66.7,2,0,2022,66.7
43,나성범,KIA,144,7,6,1,85.7,5,0,2022,85.7
43,노시환,한화,115,8,6,2,75.0,2,1,2022,75.0
43,박정현,한화,81,7,6,1,85.7,3,0,2022,85.7
53,박병호,KT,124,8,5,3,62.5,3,0,2022,62.5
53,알포드,KT,80,6,5,1,83.3,6,1,2022,83.3
53,조용호,KT,131,9,5,4,55.6,4,0,2022,55.6
53,박계범,두산,77,8,5,3,62.5,3,0,2022,62.5
53,이정후,키움,142,5,5,0,100.0,1,1,2022,100.0
53,이명기,NC,94,9,5,4,55.6,5,0,2022,55.6
59,권동진,KT,48,4,4,0,100.0,1,0,2022,100.0
59,홍현빈,KT,61,4,4,0,100.0,0,0,2022,100.0
59,강진성,두산,40,4,4,0,100.0,1,0,2022,100.0
59,안재석,두산,99,4,4,0,100.0,4,0,2022,100.0
59,강한울,삼성,94,6,4,2,66.7,0,0,2022,66.7
59,김재혁,삼성,15,4,4,0,100.0,0,1,2022,100.0
59,가르시아,LG,39,5,4,1,80.0,2,2,2022,80.0
59,장두성,롯데,53,5,4,1,80.0,3,1,2022,80.0
59,정훈,롯데,91,5,4,1,80.0,2,0,2022,80.0
68,안권수,두산,76,7,3,4,42.9,3,0,2022,42.9
68,전민재,두산,35,3,3,0,100.0,1,0,2022,100.0
68,김헌곤,삼성,80,4,3,1,75.0,3,0,2022,75.0
68,이재원,LG,85,4,3,1,75.0,4,1,2022,75.0
68,김성현,SSG,130,6,3,3,50.0,5,0,2022,50.0
68,라가레스,SSG,49,4,3,1,75.0,3,0,2022,75.0
68,최상민,SSG,27,4,3,1,75.0,0,0,2022,75.0
68,박건우,NC,111,6,3,3,50.0,4,0,2022,50.0
68,서호철,NC,89,4,3,1,75.0,1,0,2022,75.0
68,양의지,NC,130,4,3,1,75.0,7,0,2022,75.0
68,렉스,롯데,56,3,3,0,100.0,5,0,2022,100.0
68,신윤후,롯데,49,4,3,1,75.0,0,0,2022,75.0
68,이호연,롯데,88,4,3,1,75.0,4,0,2022,75.0
68,이창진,KIA,111,8,3,5,37.5,4,0,2022,37.5
68,김태연,한화,119,5,3,2,60.0,6,0,2022,60.0
68,이도윤,한화,80,5,3,2,60.0,2,0,2022,60.0
84,김준태,KT,98,2,2,0,100.0,2,0,2022,100.0
84,라모스,KT,18,2,2,0,100.0,1,0,2022,100.0
84,오윤석,KT,112,3,2,1,66.7,1,0,2022,66.7
84,이시원,KT,31,2,2,0,100.0,0,0,2022,100.0
84,김대한,두산,51,3,2,1,66.7,2,0,2022,66.7
84,김재환,두산,128,3,2,1,66.7,5,0,2022,66.7
84,박세혁,두산,128,4,2,2,50.0,4,0,2022,50.0
84,김상수,삼성,72,3,2,1,66.7,3,0,2022,66.7
84,김성표,삼성,17,2,2,0,100.0,1,0,2022,100.0
84,박승규,삼성,62,2,2,0,100.0,0,1,2022,100.0
84,오선진,삼성,100,4,2,2,50.0,1,0,2022,50.0
84,오재일,삼성,135,3,2,1,66.7,4,0,2022,66.7
84,최영진,삼성,43,4,2,2,50.0,0,0,2022,50.0
84,김현수,LG,141,3,2,1,66.7,2,0,2022,66.7
84,송찬의,LG,33,3,2,1,66.7,2,0,2022,66.7
84,신민재,LG,14,4,2,2,50.0,0,0,2022,50.0
84,안상현,SSG,46,2,2,0,100.0,0,0,2022,100.0
84,최경모,SSG,98,2,2,0,100.0,3,0,2022,100.0
84,권희동,NC,82,3,2,1,66.7,1,0,2022,66.7
84,노진혁,NC,115,2,2,0,100.0,5,0,2022,100.0
84,오태양,NC,15,4,2,2,50.0,0,0,2022,50.0
84,이학주,롯데,91,6,2,4,33.3,2,1,2022,33.3
84,김호령,KIA,54,3,2,1,66.7,1,0,2022,66.7
84,김인환,한화,113,2,2,0,100.0,6,0,2022,100.0
84,이진영,한화,70,4,2,2,50.0,2,0,2022,50.0
84,장진혁,한화,41,3,2,1,66.7,1,0,2022,66.7
