순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,연도
1,이정후,키움,0.349,69,154,177,0.87,15,2.06,3.69,0.226,120.2,0.333,2022
2,피렐라,삼성,0.342,65,149,141,1.06,12,0.68,3.45,0.223,114.4,0.326,2022
3,박건우,NC,0.336,29,100,112,0.89,7,0.71,3.87,0.123,72.1,0.298,2022
4,이대호,롯데,0.331,46,150,161,0.93,9,0.77,3.58,0.17,90.5,0.296,2022
5,나성범,KIA,0.32,62,117,134,0.87,9,0.47,3.75,0.188,110.9,0.308,2022
6,김혜성,키움,0.318,29,165,107,1.54,5,0.57,3.87,0.085,78.5,0.269,2022
7,문보경,LG,0.315,34,124,105,1.18,7,0.84,3.73,0.135,69.7,0.285,2022
8,소크라테스,KIA,0.311,53,125,152,0.82,8,0.42,3.65,0.183,82.8,0.283,2022
9,페르난데스,두산,0.309,34,194,117,1.66,4,0.78,3.78,0.091,60.2,0.259,2022
10,조용호,KT,0.308,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264,2022
11,한동희,롯데,0.307,41,154,102,1.51,4,0.52,3.52,0.151,69.2,0.276,2022
12,전준우,롯데,0.304,43,146,117,1.25,7,0.48,3.57,0.14,70.3,0.269,2022
13,최지훈,SSG,0.304,46,151,172,0.88,9,0.61,3.63,0.123,90.0,0.27,2022
14,박성한,SSG,0.298,30,156,112,1.39,7,0.74,3.99,0.077,70.7,0.262,2022
15,마티니,NC,0.296,51,123,157,0.78,6,0.59,3.81,0.165,85.7,0.28,2022
16,채은성,LG,0.296,40,115,137,0.84,11,0.31,3.71,0.141,69.8,0.269,2022
17,박해민,LG,0.289,31,158,168,0.94,9,0.52,4.01,0.079,78.4,0.248,2022
18,허경민,두산,0.289,31,141,133,1.06,8,0.9,3.83,0.109,63.6,0.262,2022
19,터크먼,한화,0.289,53,150,157,0.96,2,0.62,4.0,0.141,86.8,0.272,2022
20,김선빈,KIA,0.287,26,182,134,1.36,6,1.38,3.96,0.063,69.7,0.255,2022
21,김현수,LG,0.286,50,145,170,0.85,17,1.15,3.76,0.187,93.6,0.287,2022
22,홍창기,LG,0.286,24,154,88,1.75,8,0.79,4.1,0.069,66.7,0.264,2022
23,안치홍,롯데,0.284,44,152,154,0.99,7,0.98,3.85,0.152,75.2,0.268,2022
24,양의지,NC,0.283,44,105,163,0.64,12,1.25,3.63,0.197,78.9,0.291,2022
25,노시환,한화,0.281,31,119,102,1.17,5,0.51,3.91,0.101,58.3,0.255,2022
26,노진혁,NC,0.28,39,88,97,0.91,8,0.43,3.93,0.174,62.4,0.273,2022
27,손아섭,NC,0.277,37,198,128,1.55,4,0.78,3.9,0.089,72.2,0.248,2022
28,푸이그,키움,0.277,51,88,158,0.56,8,0.58,3.83,0.197,83.4,0.284,2022
29,박병호,KT,0.275,52,75,111,0.68,11,0.31,3.93,0.284,83.6,0.297,2022
30,류지혁,KIA,0.274,23,130,83,1.57,8,0.67,3.93,0.072,55.6,0.253,2022
31,정은원,한화,0.274,30,138,125,1.1,4,0.78,4.33,0.094,75.1,0.262,2022
32,박찬호,KIA,0.272,26,160,139,1.15,8,0.85,4.0,0.069,67.1,0.24,2022
33,오지환,LG,0.269,45,135,122,1.11,11,0.58,4.07,0.2,84.1,0.278,2022
34,오재일,삼성,0.268,63,88,130,0.68,5,0.43,4.01,0.223,79.3,0.278,2022
35,이지영,키움,0.267,19,158,106,1.49,6,0.45,3.37,0.064,36.4,0.219,2022
35,박민우,NC,0.267,27,123,111,1.11,4,0.76,3.92,0.092,53.5,0.248,2022
37,배정대,KT,0.266,32,117,134,0.87,9,0.43,4.12,0.091,67.7,0.242,2022
38,최정,SSG,0.266,47,72,142,0.51,9,0.69,3.92,0.239,85.1,0.3,2022
39,최형우,KIA,0.264,42,114,130,0.88,6,0.79,4.22,0.156,71.1,0.27,2022
40,한유섬,SSG,0.264,55,114,91,1.25,15,0.48,4.02,0.214,82.7,0.287,2022
41,강승호,두산,0.264,39,98,134,0.73,11,0.29,3.45,0.135,55.1,0.239,2022
42,황재균,KT,0.262,38,132,154,0.86,4,0.54,3.82,0.118,63.2,0.246,2022
43,정수빈,두산,0.259,19,153,95,1.61,3,0.7,3.81,0.072,47.3,0.228,2022
44,추신수,SSG,0.259,37,101,106,0.95,5,0.71,4.09,0.171,73.8,0.279,2022
45,하주석,한화,0.258,25,134,73,1.84,9,0.25,3.83,0.083,49.4,0.225,2022
46,황대인,KIA,0.256,41,121,146,0.83,8,0.39,3.53,0.145,56.4,0.242,2022
47,유강남,LG,0.255,24,102,112,0.91,4,0.35,3.93,0.096,48.2,0.234,2022
48,김재환,두산,0.248,48,98,110,0.89,4,0.46,3.93,0.212,73.0,0.268,2022
49,송성문,키움,0.247,38,156,198,0.79,11,0.69,3.57,0.124,63.4,0.229,2022
50,양석환,두산,0.244,35,67,140,0.48,5,0.32,3.85,0.188,56.4,0.247,2022
51,박동원,KIA,0.242,39,104,94,1.11,6,0.47,4.1,0.195,56.5,0.259,2022
52,김태연,한화,0.24,25,102,103,0.99,3,0.45,4.11,0.097,46.7,0.231,2022
53,심우준,KT,0.24,14,104,120,0.87,4,0.57,4.31,0.062,42.6,0.218,2022
1,에레디아,SSG,0.36,53,128,154,0.83,13,0.38,3.46,0.177,105.2,0.314,2023
2,레이예스,롯데,0.352,58,168,133,1.26,13,0.56,3.87,0.159,106.2,0.305,2023
3,김도영,KIA,0.347,77,101,151,0.67,15,0.6,3.81,0.3,138.2,0.351,2023
4,구자욱,삼성,0.343,73,128,129,0.99,12,0.75,3.8,0.284,118.5,0.344,2023
5,송성문,키움,0.34,52,136,138,0.99,11,0.78,3.88,0.178,111.4,0.314,2023
6,홍창기,LG,0.336,26,159,100,1.59,6,1.03,4.14,0.074,99.5,0.304,2023
