순위,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,연도
1,안우진,키움,2.11,30,15,0,1,0,0,10,160,187,0.86,2022
2,김광현,SSG,2.13,28,13,0,0,0,0,22,181,163,1.11,2022
3,플럿코,LG,2.39,28,15,0,0,0,0,14,105,221,0.48,2022
4,수아레즈,삼성,2.49,29,6,0,0,0,0,16,194,149,1.3,2022
5,켈리,LG,2.54,27,16,0,0,0,0,14,179,149,1.2,2022
6,요키시,키움,2.57,30,10,0,0,0,0,14,238,135,1.76,2022
7,폰트,SSG,2.69,28,13,0,1,0,0,5,153,222,0.69,2022
8,루친스키,NC,2.97,31,10,0,0,0,0,13,208,157,1.32,2022
9,뷰캐넌,삼성,3.04,26,11,0,1,0,0,15,220,122,1.8,2022
10,소형준,KT,3.05,27,13,0,0,0,0,19,230,146,1.58,2022
11,고영표,KT,3.26,28,13,0,1,0,0,19,238,128,1.86,2022
12,스탁,두산,3.6,29,9,0,0,0,0,25,196,130,1.51,2022
12,최원준,두산,3.6,30,8,0,0,0,0,11,124,243,0.51,2022
14,반즈,롯데,3.62,31,12,0,0,0,0,16,198,180,1.1,2022
15,곽빈,두산,3.78,27,8,0,0,0,0,8,118,168,0.7,2022
16,양현종,KIA,3.85,30,12,0,0,0,0,12,181,189,0.96,2022
17,이의리,KIA,3.86,28,10,0,0,0,0,7,131,164,0.8,2022
18,박세웅,롯데,3.89,28,10,0,0,0,0,16,195,111,1.76,2022
19,원태인,삼성,3.92,27,10,0,0,0,0,11,170,178,0.96,2022
20,김민우,한화,4.36,29,6,0,1,0,0,16,155,181,0.86,2022
21,오원석,SSG,4.5,24,5,1,0,2,0,17,137,160,0.86,2022
22,데스파이네,KT,4.53,29,8,0,0,0,0,22,202,133,1.52,2022
1,네일,KIA,2.53,26,12,0,0,0,0,16,188,115,1.63,2023
2,하트,NC,2.69,26,13,0,0,0,0,7,142,131,1.08,2023
3,반즈,롯데,3.35,25,9,0,0,0,0,18,154,103,1.5,2023
4,후라도,키움,3.36,30,10,0,0,0,0,21,211,166,1.27,2023
5,코너,삼성,3.43,28,11,0,1,0,0,7,123,186,0.66,2023
6,원태인,삼성,3.66,28,15,0,1,0,0,6,160,186,0.86,2023
7,헤이수스,키움,3.68,30,13,0,0,0,0,12,149,169,0.88,2023
8,손주영,LG,3.79,27,9,0,0,0,0,16,173,125,1.38,2023
9,레예스,삼성,3.81,26,11,0,0,0,0,7,144,158,0.91,2023
10,윌커슨,롯데,3.84,32,12,0,1,0,0,11,175,232,0.75,2023
11,류현진,한화,3.87,28,10,0,0,0,0,18,182,140,1.3,2023
12,양현종,KIA,4.1,29,11,0,2,0,0,14,174,201,0.87,2023
13,쿠에바스,KT,4.1,31,7,0,0,0,0,9,155,199,0.78,2023
14,엔스,LG,4.19,30,13,0,0,0,0,12,167,156,1.07,2023
15,곽빈,두산,4.24,30,15,0,0,0,0,10,140,192,0.73,2023
16,하영민,키움,4.37,28,9,0,0,0,0,13,155,182,0.85,2023
17,벤자민,KT,4.63,28,11,0,0,0,0,8,143,141,1.01,2023
18,박세웅,롯데,4.78,30,6,0,0,0,0,18,205,172,1.19,2023
19,엄상백,KT,4.88,29,13,0,0,0,0,4,105,193,0.54,2023
20,김광현,SSG,4.93,31,12,0,0,0,0,18,157,152,1.03,2023
1,네일,KIA,2.53,26,12,0,0,0,0,16,188,115,1.63,2024
2,하트,NC,2.69,26,13,0,0,0,0,7,142,131,1.08,2024
3,반즈,롯데,3.35,25,9,0,0,0,0,18,154,103,1.5,2024
4,후라도,키움,3.36,30,10,0,0,0,0,21,211,166,1.27,2024
5,코너,삼성,3.43,28,11,0,1,0,0,7,123,186,0.66,2024
6,원태인,삼성,3.66,28,15,0,1,0,0,6,160,186,0.86,2024
7,헤이수스,키움,3.68,30,13,0,0,0,0,12,149,169,0.88,2024
8,손주영,LG,3.79,27,9,0,0,0,0,16,173,125,1.38,2024
9,레예스,삼성,3.81,26,11,0,0,0,0,7,144,158,0.91,2024
10,윌커슨,롯데,3.84,32,12,0,1,0,0,11,175,232,0.75,2024
11,류현진,한화,3.87,28,10,0,0,0,0,18,182,140,1.3,2024
12,양현종,KIA,4.1,29,11,0,2,0,0,14,174,201,0.87,2024
13,쿠에바스,KT,4.1,31,7,0,0,0,0,9,155,199,0.78,2024
14,엔스,LG,4.19,30,13,0,0,0,0,12,167,156,1.07,2024
15,곽빈,두산,4.24,30,15,0,0,0,0,10,140,192,0.73,2024
16,하영민,키움,4.37,28,9,0,0,0,0,13,155,182,0.85,2024
17,벤자민,KT,4.63,28,11,0,0,0,0,8,143,141,1.01,2024
18,박세웅,롯데,4.78,30,6,0,0,0,0,18,205,172,1.19,2024
19,엄상백,KT,4.88,29,13,0,0,0,0,4,105,193,0.54,2024
20,김광현,SSG,4.93,31,12,0,0,0,0,18,157,152,1.03,2024
1,폰세,한화,1.89,29,17,0,0,0,0,14,145,122,1.19,2025
2,네일,KIA,2.25,27,8,0,0,0,0,18,204,110,1.85,2025
3,앤더슨,SSG,2.25,30,12,0,0,0,0,7,130,134,0.97,2025
4,후라도,삼성,2.6,30,15,0,3,0,0,23,249,173,1.44,2025
5,잭로그,두산,2.81,29,10,0,0,1,0,15,204,149,1.37,2025
6,와이스,한화,2.87,30,16,0,0,0,0,7,168,150,1.12,2025
7,임찬규,LG,3.03,27,11,0,1,0,0,19,175,174,1.01,2025
8,원태인,삼성,3.24,27,12,0,0,0,0,18,173,189,0.92,2025
9,고영표,KT,3.3,26,11,0,2,0,0,14,190,119,1.6,2025
10,소형준,KT,3.3,24,10,0,1,1,0,13,189,112,1.69,2025
11,치리노스,LG,3.31,30,13,0,0,0,0,11,251,123,2.04,2025
12,손주영,LG,3.41,27,11,0,0,0,0,23,187,114,1.64,2025
13,라일리,NC,3.45,30,17,0,0,0,0,5,134,160,0.84,2025
14,송승기,LG,3.5,27,11,0,0,0,0,6,109,191,0.57,2025
15,올러,KIA,3.62,26,11,0,1,0,0,5,123,143,0.86,2025
16,헤이수스,KT,3.96,30,9,0,0,0,0,7,171,143,1.2,2025
17,콜어빈,두산,4.48,28,8,0,0,0,0,16,147,121,1.21,2025
18,로건,NC,4.53,31,7,0,0,0,0,13,188,173,1.09,2025
19,박세웅,롯데,4.93,28,11,0,0,0,0,9,171,142,1.2,2025
20,하영민,키움,4.99,28,7,0,0,0,0,8,144,164,0.88,2025
21,김광현,SSG,5.0,28,10,0,0,0,0,15,149,126,1.18,2025
22,양현종,KIA,5.06,30,7,0,0,0,0,15,153,175,0.87,2025
1,보쉴리,KT,0.78,4,4,0,0,0,0,3,24,21,1.14,2026
2,올러,KIA,1.11,4,3,0,0,0,0,3,27,25,1.08,2026
3,최민석,두산,1.14,4,3,0,0,0,0,4,30,22,1.36,2026
4,웰스,LG,1.44,4,2,0,0,0,0,0,26,32,0.81,2026
5,후라도,삼성,1.97,5,2,0,0,0,0,2,42,34,1.24,2026
6,오원석,KT,2.01,4,2,0,0,0,0,3,25,18,1.39,2026
7,나균안,롯데,2.08,4,0,0,0,0,0,1,21,24,0.88,2026
8,왕옌청,한화,2.28,5,2,0,0,0,0,4,34,17,2.0,2026
9,구창모,NC,2.54,5,3,0,0,0,0,3,36,28,1.29,2026
10,알칸타라,키움,2.56,5,2,0,0,0,0,4,25,33,0.76,2026
11,네일,KIA,2.57,5,1,0,0,0,0,3,41,19,2.16,2026
12,김진욱,롯데,2.59,4,2,0,0,0,0,2,23,21,1.1,2026
13,박세웅,롯데,3.0,4,0,0,0,0,0,0,22,21,1.05,2026
14,곽빈,두산,3.25,5,1,0,0,0,0,2,20,27,0.74,2026
15,톨허스트,LG,3.43,4,3,0,0,0,0,2,20,24,0.83,2026
16,사우어,KT,4.08,5,1,0,0,0,0,4,23,36,0.64,2026
17,와일스,키움,4.13,4,0,0,0,0,0,0,29,25,1.16,2026
18,로드리게스,롯데,4.18,5,3,0,0,1,0,4,26,27,0.96,2026
19,신민혁,NC,4.29,4,0,0,0,0,0,2,21,28,0.75,2026
20,소형준,KT,4.33,5,3,0,0,0,0,4,37,14,2.64,2026
21,화이트,SSG,4.39,5,1,0,0,0,0,3,29,23,1.26,2026
22,오러클린,삼성,4.5,5,0,0,0,0,0,0,20,18,1.11,2026
22,잭로그,두산,4.5,5,1,0,0,0,0,0,35,28,1.25,2026
24,에르난데스,한화,7.17,5,2,0,0,0,0,4,21,27,0.78,2026
