순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,연도
1,SSG,144,109,9,3904,1455,138,0.98,4,107,31,22.5,2022
2,키움,144,118,3,3889,1549,134,0.979,7,85,42,33.1,2022
3,LG,144,89,6,3864,1394,139,0.983,7,113,26,18.7,2022
4,KT,144,97,13,3862,1425,132,0.982,8,69,26,27.4,2022
5,삼성,144,118,9,3861,1448,125,0.978,6,51,35,40.7,2022
6,NC,144,127,4,3860,1360,115,0.976,9,60,42,41.2,2022
7,롯데,144,114,3,3842,1403,124,0.979,11,99,39,28.3,2022
8,KIA,144,107,5,3839,1378,111,0.98,8,64,41,39.0,2022
9,두산,144,117,3,3838,1394,128,0.978,13,95,34,26.4,2022
10,한화,144,134,7,3805,1406,111,0.975,8,121,51,29.7,2022
1,KIA,144,146,7,3864,1400,133,0.973,10,108,31,22.3,2023
2,KT,144,116,10,3853,1279,110,0.978,14,142,38,21.1,2023
3,두산,144,84,9,3851,1263,109,0.984,15,97,28,22.4,2023
4,삼성,144,81,3,3848,1252,105,0.984,8,114,50,30.5,2023
5,롯데,144,123,10,3842,1411,143,0.977,3,89,36,28.8,2023
6,LG,144,102,5,3831,1348,135,0.981,10,126,40,24.1,2023
7,NC,144,108,8,3827,1312,115,0.979,8,86,51,37.2,2023
8,한화,144,105,5,3824,1324,132,0.98,12,110,43,28.1,2023
9,키움,144,104,2,3818,1309,129,0.98,10,117,40,25.5,2023
10,SSG,144,119,5,3809,1336,123,0.977,11,119,40,25.2,2023
1,KIA,144,146,7,3864,1400,133,0.973,10,108,31,22.3,2024
2,KT,144,116,10,3853,1279,110,0.978,14,142,38,21.1,2024
3,두산,144,84,9,3851,1263,109,0.984,15,97,28,22.4,2024
4,삼성,144,81,3,3848,1252,105,0.984,8,114,50,30.5,2024
5,롯데,144,123,10,3842,1411,143,0.977,3,89,36,28.8,2024
6,LG,144,102,5,3831,1348,135,0.981,10,126,40,24.1,2024
7,NC,144,108,8,3827,1312,115,0.979,8,86,51,37.2,2024
8,한화,144,105,5,3824,1324,132,0.98,12,110,43,28.1,2024
9,키움,144,104,2,3818,1309,129,0.98,10,117,40,25.5,2024
10,SSG,144,119,5,3809,1336,123,0.977,11,119,40,25.2,2024
1,한화,144,86,4,3871,1325,100,0.984,11,96,39,28.9,2025
2,SSG,144,106,10,3850,1398,139,0.98,4,110,46,29.5,2025
3,두산,144,120,12,3840,1363,123,0.977,12,103,43,29.5,2025
3,롯데,144,111,5,3840,1380,117,0.979,13,104,23,18.1,2025
5,LG,144,92,10,3838,1438,137,0.983,7,95,23,19.5,2025
6,KT,144,103,5,3835,1458,105,0.981,6,128,32,20.0,2025
7,KIA,144,123,10,3824,1422,127,0.977,8,111,41,27.0,2025
8,NC,144,116,5,3810,1381,119,0.978,7,80,36,31.0,2025
9,키움,144,119,4,3807,1317,111,0.977,13,107,53,33.1,2025
10,삼성,144,87,8,3806,1389,122,0.984,12,107,26,19.5,2025
1,KT,22,17,0,600,222,24,0.98,0,22,5,18.5,2026
2,두산,22,17,0,585,195,18,0.979,1,12,1,7.7,2026
3,KIA,22,13,0,579,193,13,0.983,2,18,4,18.2,2026
4,키움,22,22,1,575,197,20,0.972,0,14,4,22.2,2026
5,삼성,21,11,0,570,232,19,0.986,3,18,5,21.7,2026
6,한화,21,25,1,564,190,24,0.968,2,9,3,25.0,2026
7,LG,21,12,2,561,202,16,0.985,0,15,6,28.6,2026
8,SSG,21,20,1,558,215,23,0.975,1,10,5,33.3,2026
9,롯데,21,14,2,553,194,13,0.982,1,17,8,32.0,2026
10,NC,21,12,2,549,198,15,0.984,1,11,3,21.4,2026
