순위,팀명,경기,승,패,무,승률,게임차,연도,홈승,홈무,홈패,원정승,원정무,원정패,최근승,최근무,최근패,홈승률,원정승률,홈_원정_승률차,시즌진행중
1,SSG,144,88,52,4,0.629,0.0,2022,49.0,0.0,23.0,39.0,4.0,29.0,4.0,0.0,6.0,0.681,0.574,0.107,
2,키움,144,80,62,2,0.563,9.0,2022,39.0,1.0,32.0,41.0,1.0,30.0,5.0,0.0,5.0,0.549,0.577,-0.028,
3,LG,144,87,55,2,0.613,2.0,2022,38.0,1.0,33.0,49.0,1.0,22.0,4.0,0.0,6.0,0.535,0.69,-0.155,
4,KT,144,80,62,2,0.563,9.0,2022,40.0,1.0,31.0,40.0,1.0,31.0,7.0,0.0,3.0,0.563,0.563,0.0,
5,KIA,144,70,73,1,0.49,19.5,2022,31.0,0.0,41.0,39.0,1.0,32.0,7.0,0.0,3.0,0.431,0.549,-0.118,
6,NC,144,67,74,3,0.475,21.5,2022,35.0,3.0,34.0,32.0,0.0,40.0,6.0,0.0,4.0,0.507,0.444,0.063,
7,삼성,144,66,76,2,0.465,23.0,2022,33.0,2.0,37.0,33.0,0.0,39.0,6.0,0.0,4.0,0.471,0.458,0.013,
8,롯데,144,64,76,4,0.457,24.0,2022,27.0,3.0,42.0,37.0,1.0,34.0,5.0,0.0,5.0,0.391,0.521,-0.13,
9,두산,144,60,82,2,0.423,29.0,2022,29.0,1.0,42.0,31.0,1.0,40.0,4.0,0.0,6.0,0.408,0.437,-0.029,
10,한화,144,46,96,2,0.324,43.0,2022,28.0,0.0,44.0,18.0,2.0,52.0,3.0,0.0,7.0,0.389,0.257,0.132,
1,KIA,144,87,55,2,0.613,0.0,2023,42.0,1.0,30.0,45.0,1.0,25.0,5.0,0.0,5.0,0.583,0.643,-0.06,
2,삼성,144,78,64,2,0.549,9.0,2023,41.0,0.0,32.0,37.0,2.0,32.0,3.0,0.0,7.0,0.562,0.536,0.026,
3,LG,144,76,66,2,0.535,11.0,2023,39.0,1.0,33.0,37.0,1.0,33.0,7.0,0.0,3.0,0.542,0.529,0.013,
4,두산,144,74,68,2,0.521,13.0,2023,39.0,1.0,31.0,35.0,1.0,37.0,8.0,0.0,2.0,0.557,0.486,0.071,
5,KT,144,72,70,2,0.507,15.0,2023,34.0,1.0,36.0,38.0,1.0,34.0,5.0,0.0,5.0,0.486,0.528,-0.042,
6,SSG,144,72,70,2,0.507,15.0,2023,35.0,1.0,35.0,37.0,1.0,35.0,8.0,0.0,2.0,0.5,0.514,-0.014,
7,롯데,144,66,74,4,0.471,20.0,2023,37.0,3.0,31.0,29.0,1.0,43.0,4.0,0.0,6.0,0.544,0.403,0.141,
8,한화,144,66,76,2,0.465,21.0,2023,30.0,2.0,39.0,36.0,0.0,37.0,5.0,0.0,5.0,0.435,0.493,-0.058,
9,NC,144,61,81,2,0.43,26.0,2023,34.0,0.0,39.0,27.0,2.0,42.0,2.0,0.0,8.0,0.466,0.391,0.075,
10,키움,144,58,86,0,0.403,30.0,2023,32.0,0.0,41.0,26.0,0.0,45.0,1.0,0.0,9.0,0.438,0.366,0.072,
1,KIA,144,87,55,2,0.613,0.0,2024,42.0,1.0,30.0,45.0,1.0,25.0,5.0,0.0,5.0,0.583,0.643,-0.06,
2,삼성,144,78,64,2,0.549,9.0,2024,41.0,0.0,32.0,37.0,2.0,32.0,3.0,0.0,7.0,0.562,0.536,0.026,
3,LG,144,76,66,2,0.535,11.0,2024,39.0,1.0,33.0,37.0,1.0,33.0,7.0,0.0,3.0,0.542,0.529,0.013,
4,두산,144,74,68,2,0.521,13.0,2024,39.0,1.0,31.0,35.0,1.0,37.0,8.0,0.0,2.0,0.557,0.486,0.071,
5,KT,144,72,70,2,0.507,15.0,2024,34.0,1.0,36.0,38.0,1.0,34.0,5.0,0.0,5.0,0.486,0.528,-0.042,
6,SSG,144,72,70,2,0.507,15.0,2024,35.0,1.0,35.0,37.0,1.0,35.0,8.0,0.0,2.0,0.5,0.514,-0.014,
7,롯데,144,66,74,4,0.471,20.0,2024,37.0,3.0,31.0,29.0,1.0,43.0,4.0,0.0,6.0,0.544,0.403,0.141,
8,한화,144,66,76,2,0.465,21.0,2024,30.0,2.0,39.0,36.0,0.0,37.0,5.0,0.0,5.0,0.435,0.493,-0.058,
9,NC,144,61,81,2,0.43,26.0,2024,34.0,0.0,39.0,27.0,2.0,42.0,2.0,0.0,8.0,0.466,0.391,0.075,
10,키움,144,58,86,0,0.403,30.0,2024,32.0,0.0,41.0,26.0,0.0,45.0,1.0,0.0,9.0,0.438,0.366,0.072,
1,LG,144,85,56,3,0.603,0.0,2025,41.0,1.0,29.0,44.0,2.0,27.0,4.0,0.0,6.0,0.586,0.62,-0.034,
2,한화,144,83,57,4,0.593,1.5,2025,44.0,2.0,27.0,39.0,2.0,30.0,5.0,1.0,4.0,0.62,0.565,0.055,
3,SSG,144,75,65,4,0.536,9.5,2025,38.0,4.0,31.0,37.0,0.0,34.0,6.0,0.0,4.0,0.551,0.521,0.03,
4,삼성,144,74,68,2,0.521,11.5,2025,41.0,0.0,30.0,33.0,2.0,38.0,7.0,0.0,3.0,0.577,0.465,0.112,
5,NC,144,71,67,6,0.514,12.5,2025,36.0,1.0,34.0,35.0,5.0,33.0,9.0,0.0,1.0,0.514,0.515,-0.001,
6,KT,144,71,68,5,0.511,13.0,2025,36.0,2.0,35.0,35.0,3.0,33.0,5.0,1.0,4.0,0.507,0.515,-0.008,
7,롯데,144,66,72,6,0.478,17.5,2025,35.0,4.0,34.0,31.0,2.0,38.0,2.0,0.0,8.0,0.507,0.449,0.058,
8,KIA,144,65,75,4,0.464,19.5,2025,35.0,2.0,34.0,30.0,2.0,41.0,4.0,0.0,6.0,0.507,0.423,0.084,
9,두산,144,61,77,6,0.442,22.5,2025,29.0,4.0,40.0,32.0,2.0,37.0,5.0,0.0,5.0,0.42,0.464,-0.044,
10,키움,144,47,93,4,0.336,37.5,2025,23.0,2.0,46.0,24.0,2.0,47.0,3.0,0.0,7.0,0.333,0.338,-0.005,
1,KT,22,16,6,0,0.727,0.0,2026,8.0,0.0,4.0,8.0,0.0,2.0,8.0,0.0,2.0,0.667,0.8,-0.133,True
2,LG,21,14,7,0,0.667,1.5,2026,9.0,0.0,5.0,5.0,0.0,2.0,7.0,0.0,3.0,0.643,0.714,-0.071,True
3,SSG,21,13,8,0,0.619,2.5,2026,6.0,0.0,4.0,7.0,0.0,4.0,6.0,0.0,4.0,0.6,0.636,-0.036,True
4,삼성,21,12,8,1,0.6,3.0,2026,6.0,1.0,6.0,6.0,0.0,2.0,6.0,0.0,4.0,0.5,0.75,-0.25,True
5,KIA,22,10,12,0,0.455,6.0,2026,5.0,0.0,3.0,5.0,0.0,9.0,5.0,0.0,5.0,0.625,0.357,0.268,True
6,한화,21,9,12,0,0.429,6.5,2026,2.0,0.0,9.0,7.0,0.0,3.0,3.0,0.0,7.0,0.182,0.7,-0.518,True
6,NC,21,9,12,0,0.429,6.5,2026,6.0,0.0,6.0,3.0,0.0,6.0,3.0,0.0,7.0,0.5,0.333,0.167,True
6,두산,22,9,12,1,0.429,6.5,2026,4.0,0.0,4.0,5.0,1.0,8.0,5.0,0.0,5.0,0.5,0.385,0.115,True
9,롯데,21,7,14,0,0.333,8.5,2026,2.0,0.0,8.0,5.0,0.0,6.0,3.0,0.0,7.0,0.2,0.455,-0.255,True
10,키움,22,7,15,0,0.318,9.0,2026,4.0,0.0,5.0,3.0,0.0,10.0,4.0,0.0,6.0,0.444,0.231,0.213,True
