순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO,연도
1,KIA,144,137,103,34,75.2,57,5,2022
2,LG,144,148,102,46,68.9,46,10,2022
3,NC,144,139,100,39,71.9,56,7,2022
4,SSG,144,137,98,39,71.5,42,4,2022
5,한화,144,142,93,49,65.5,49,6,2022
6,삼성,144,118,91,27,77.1,50,6,2022
7,두산,144,130,90,40,69.2,55,4,2022
8,KT,144,123,89,34,72.4,38,6,2022
9,키움,144,83,63,20,75.9,42,8,2022
10,롯데,144,100,61,39,61.0,54,6,2022
1,두산,144,234,184,50,78.6,56,4,2023
2,LG,144,250,171,79,68.4,61,12,2023
3,SSG,144,188,149,39,79.3,32,3,2023
4,KIA,144,169,125,44,74.0,45,4,2023
5,삼성,144,142,113,29,79.6,39,4,2023
6,롯데,144,147,105,42,71.4,54,13,2023
7,NC,144,137,104,33,75.9,47,10,2023
8,키움,144,84,71,13,84.5,33,3,2023
9,한화,144,110,69,41,62.7,44,7,2023
10,KT,144,88,61,27,69.3,37,4,2023
1,두산,144,234,184,50,78.6,56,4,2024
2,LG,144,250,171,79,68.4,61,12,2024
3,SSG,144,188,149,39,79.3,32,3,2024
4,KIA,144,169,125,44,74.0,45,4,2024
5,삼성,144,142,113,29,79.6,39,4,2024
6,롯데,144,147,105,42,71.4,54,13,2024
7,NC,144,137,104,33,75.9,47,10,2024
8,키움,144,84,71,13,84.5,33,3,2024
9,한화,144,110,69,41,62.7,44,7,2024
10,KT,144,88,61,27,69.3,37,4,2024
1,NC,144,250,186,64,74.4,45,14,2025
2,두산,144,187,144,43,77.0,58,8,2025
3,SSG,144,176,129,47,73.3,40,3,2025
4,LG,144,170,121,49,71.2,49,7,2025
5,한화,144,139,101,38,72.7,50,15,2025
6,삼성,144,130,98,32,75.4,53,3,2025
7,롯데,144,119,91,28,76.5,51,2,2025
8,키움,144,98,83,15,84.7,38,5,2025
9,KIA,144,99,77,22,77.8,44,7,2025
10,KT,144,72,48,24,66.7,40,9,2025
1,NC,21,39,33,6,84.6,7,1,2026
2,LG,21,26,19,7,73.1,10,1,2026
3,SSG,21,21,18,3,85.7,5,0,2026
4,두산,22,19,16,3,84.2,3,1,2026
5,롯데,21,18,14,4,77.8,12,0,2026
6,한화,21,19,13,6,68.4,4,2,2026
7,삼성,21,18,12,6,66.7,4,2,2026
8,KIA,22,12,10,2,83.3,4,2,2026
9,KT,22,15,8,7,53.3,5,0,2026
10,키움,22,6,6,0,100.0,6,0,2026
