순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,연도,HR/G,득점/G
1,KIA,0.272,144,5703,5000,720,1361,250,19,113,1988,677,61,36,2022,0.78,5.0
2,삼성,0.27,144,5647,5023,663,1358,241,19,103,1946,627,83,41,2022,0.72,4.6
3,LG,0.269,144,5627,4927,715,1325,208,33,118,1953,674,49,46,2022,0.82,4.97
4,롯데,0.267,144,5534,4948,605,1320,227,16,106,1897,570,73,42,2022,0.74,4.2
5,NC,0.257,144,5585,4899,646,1260,230,15,105,1835,613,50,47,2022,0.73,4.49
6,두산,0.255,144,5510,4891,638,1249,210,12,101,1786,592,53,45,2022,0.7,4.43
7,SSG,0.254,144,5642,4893,720,1245,242,18,138,1937,682,77,47,2022,0.96,5.0
8,KT,0.254,144,5547,4864,631,1237,192,19,119,1824,588,70,44,2022,0.83,4.38
9,키움,0.252,144,5655,4953,621,1250,203,33,94,1801,578,49,34,2022,0.65,4.31
10,한화,0.245,144,5513,4878,564,1196,217,19,88,1715,520,45,40,2022,0.61,3.92
1,KIA,0.301,144,5812,5124,858,1542,266,28,163,2353,812,45,53,2023,1.13,5.96
2,롯데,0.285,144,5766,5110,802,1454,285,41,125,2196,757,37,57,2023,0.87,5.57
3,LG,0.283,144,5725,4919,808,1394,238,29,115,2035,765,46,73,2023,0.8,5.61
4,KT,0.279,144,5808,5072,767,1413,234,16,145,2114,722,62,45,2023,1.01,5.33
5,두산,0.276,144,5680,4975,789,1375,243,21,150,2110,743,55,59,2023,1.04,5.48
6,NC,0.274,144,5757,5009,773,1371,226,15,172,2143,737,50,57,2023,1.19,5.37
7,SSG,0.273,144,5647,5001,756,1367,239,20,152,2102,724,51,48,2023,1.06,5.25
8,한화,0.27,144,5702,5005,745,1351,224,18,127,1992,698,42,40,2023,0.88,5.17
9,삼성,0.269,144,5697,4975,770,1336,204,17,185,2129,734,57,47,2023,1.28,5.35
10,키움,0.264,144,5671,5015,672,1326,222,24,104,1908,641,37,49,2023,0.72,4.67
1,KIA,0.301,144,5812,5124,858,1542,266,28,163,2353,812,45,53,2024,1.13,5.96
2,롯데,0.285,144,5766,5110,802,1454,285,41,125,2196,757,37,57,2024,0.87,5.57
3,LG,0.283,144,5725,4919,808,1394,238,29,115,2035,765,46,73,2024,0.8,5.61
4,KT,0.279,144,5808,5072,767,1413,234,16,145,2114,722,62,45,2024,1.01,5.33
5,두산,0.276,144,5680,4975,789,1375,243,21,150,2110,743,55,59,2024,1.04,5.48
6,NC,0.274,144,5757,5009,773,1371,226,15,172,2143,737,50,57,2024,1.19,5.37
7,SSG,0.273,144,5647,5001,756,1367,239,20,152,2102,724,51,48,2024,1.06,5.25
8,한화,0.27,144,5702,5005,745,1351,224,18,127,1992,698,42,40,2024,0.88,5.17
9,삼성,0.269,144,5697,4975,770,1336,204,17,185,2129,734,57,47,2024,1.28,5.35
10,키움,0.264,144,5671,5015,672,1326,222,24,104,1908,641,37,49,2024,0.72,4.67
1,LG,0.278,144,5713,4919,788,1366,219,19,130,2013,732,63,59,2025,0.9,5.47
2,삼성,0.271,144,5671,4899,775,1330,241,18,161,2090,728,67,55,2025,1.12,5.38
3,롯데,0.267,144,5682,4944,676,1318,242,26,75,1837,629,72,45,2025,0.52,4.69
4,한화,0.266,144,5547,4892,689,1303,250,16,116,1933,643,79,46,2025,0.81,4.78
5,두산,0.262,144,5581,4952,647,1298,232,31,102,1898,592,53,42,2025,0.71,4.49
6,NC,0.26,144,5570,4816,732,1254,221,31,128,1921,685,62,52,2025,0.89,5.08
7,KIA,0.258,144,5619,4944,668,1276,232,16,144,1972,624,43,39,2025,1.0,4.64
8,SSG,0.256,144,5517,4875,609,1249,175,14,127,1833,578,52,37,2025,0.88,4.23
9,KT,0.253,144,5588,4845,648,1228,214,17,104,1788,613,65,43,2025,0.72,4.5
10,키움,0.244,144,5508,4935,581,1202,217,20,104,1771,540,38,33,2025,0.72,4.03
1,KT,0.289,22,906,778,139,225,45,4,18,332,131,9,8,2026,0.82,6.32
2,한화,0.271,21,870,757,124,205,31,4,18,298,117,7,7,2026,0.86,5.9
3,삼성,0.269,21,860,728,115,196,36,7,15,291,107,4,5,2026,0.71,5.48
4,KIA,0.266,22,874,744,109,198,40,0,17,289,105,14,8,2026,0.77,4.95
5,SSG,0.266,21,851,722,119,192,42,2,22,304,110,7,7,2026,1.05,5.67
6,LG,0.265,21,825,688,96,182,30,1,12,250,93,12,9,2026,0.57,4.57
7,NC,0.252,21,829,713,98,180,33,0,20,273,89,7,1,2026,0.95,4.67
8,롯데,0.25,21,788,711,65,178,32,2,17,265,61,6,6,2026,0.81,3.1
9,두산,0.25,22,868,752,100,188,36,5,18,288,92,10,10,2026,0.82,4.55
10,키움,0.232,22,833,736,74,171,36,1,11,242,67,8,6,2026,0.5,3.36
