순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,연도,K/9,BB/9,HR/9
1,LG,3.33,144,87,55,43,107,0.613,1288.0,1179,94,451,59,1031,521,476,1.27,2022,7.2,3.15,0.66
2,KT,3.51,144,80,62,37,65,0.563,1287.3333,1243,92,364,63,1074,562,502,1.25,2022,7.51,2.54,0.64
3,키움,3.79,144,80,62,48,84,0.563,1296.3333,1247,96,490,70,1010,610,546,1.34,2022,7.01,3.4,0.67
4,SSG,3.87,144,88,52,45,68,0.629,1301.3333,1223,130,457,65,1023,622,560,1.29,2022,7.08,3.16,0.9
5,NC,3.9,144,67,74,25,54,0.475,1286.6667,1230,111,515,98,1168,642,557,1.36,2022,8.17,3.6,0.78
6,KIA,4.2,144,70,73,38,74,0.49,1279.6667,1286,120,526,67,1042,679,597,1.42,2022,7.33,3.7,0.84
7,삼성,4.29,144,66,76,34,71,0.465,1287.0,1370,129,478,66,971,695,613,1.44,2022,6.79,3.34,0.9
8,두산,4.45,144,60,82,32,68,0.423,1279.3333,1336,117,555,70,977,721,632,1.48,2022,6.87,3.9,0.82
9,롯데,4.45,144,64,76,34,69,0.457,1280.6667,1373,84,492,80,1199,712,633,1.46,2022,8.43,3.46,0.59
10,한화,4.83,144,46,96,25,81,0.324,1268.3333,1314,112,602,83,974,759,680,1.51,2022,6.91,4.27,0.79
1,KIA,4.4,144,87,55,44,89,0.613,1288.0,1365,141,539,85,1125,759,629,1.48,2023,7.86,3.77,0.99
2,LG,4.63,144,76,66,34,65,0.535,1277.0,1375,126,529,80,1082,728,657,1.49,2023,7.63,3.73,0.89
3,삼성,4.68,144,78,64,41,116,0.549,1282.6667,1384,164,477,81,980,719,667,1.45,2023,6.88,3.35,1.15
4,두산,4.82,144,74,68,41,87,0.521,1283.6667,1332,135,585,92,1083,748,688,1.49,2023,7.59,4.1,0.95
5,한화,4.98,144,66,76,26,68,0.465,1274.6667,1437,128,511,76,1130,780,706,1.53,2023,7.98,3.61,0.9
6,NC,5.0,144,61,81,22,65,0.43,1275.6667,1389,137,531,67,1061,801,708,1.51,2023,7.49,3.75,0.97
7,롯데,5.05,144,66,74,30,58,0.471,1280.6667,1442,139,523,75,1131,791,719,1.53,2023,7.95,3.68,0.98
8,KT,5.11,144,72,70,28,50,0.507,1284.3333,1448,155,443,65,1118,804,729,1.47,2023,7.83,3.1,1.09
9,키움,5.16,144,58,86,23,48,0.403,1272.6667,1416,150,497,88,921,796,729,1.5,2023,6.51,3.51,1.06
10,SSG,5.25,144,72,70,33,80,0.507,1269.6667,1341,163,630,74,1195,814,740,1.55,2023,8.47,4.47,1.16
1,KIA,4.4,144,87,55,44,89,0.613,1288.0,1365,141,539,85,1125,759,629,1.48,2024,7.86,3.77,0.99
2,LG,4.63,144,76,66,34,65,0.535,1277.0,1375,126,529,80,1082,728,657,1.49,2024,7.63,3.73,0.89
3,삼성,4.68,144,78,64,41,116,0.549,1282.6667,1384,164,477,81,980,719,667,1.45,2024,6.88,3.35,1.15
4,두산,4.82,144,74,68,41,87,0.521,1283.6667,1332,135,585,92,1083,748,688,1.49,2024,7.59,4.1,0.95
5,한화,4.98,144,66,76,26,68,0.465,1274.6667,1437,128,511,76,1130,780,706,1.53,2024,7.98,3.61,0.9
6,NC,5.0,144,61,81,22,65,0.43,1275.6667,1389,137,531,67,1061,801,708,1.51,2024,7.49,3.75,0.97
7,롯데,5.05,144,66,74,30,58,0.471,1280.6667,1442,139,523,75,1131,791,719,1.53,2024,7.95,3.68,0.98
8,KT,5.11,144,72,70,28,50,0.507,1284.3333,1448,155,443,65,1118,804,729,1.47,2024,7.83,3.1,1.09
9,키움,5.16,144,58,86,23,48,0.403,1272.6667,1416,150,497,88,921,796,729,1.5,2024,6.51,3.51,1.06
10,SSG,5.25,144,72,70,33,80,0.507,1269.6667,1341,163,630,74,1195,814,740,1.55,2024,8.47,4.47,1.16
1,한화,3.55,144,83,57,41,57,0.593,1290.3333,1185,102,450,93,1339,554,509,1.27,2025,9.34,3.14,0.71
2,SSG,3.63,144,75,65,36,102,0.536,1283.3333,1164,115,510,78,1193,576,517,1.3,2025,8.37,3.58,0.81
3,LG,3.79,144,85,56,42,77,0.603,1279.3333,1236,91,491,62,1080,584,539,1.35,2025,7.6,3.45,0.64
4,KT,4.09,144,71,68,37,60,0.511,1278.3333,1362,112,433,58,1067,657,581,1.4,2025,7.51,3.05,0.79
5,삼성,4.12,144,74,68,25,76,0.521,1268.6667,1257,132,455,70,1048,647,581,1.35,2025,7.43,3.23,0.94
6,두산,4.3,144,61,77,29,69,0.442,1280.0,1227,109,542,99,1054,686,612,1.38,2025,7.41,3.81,0.77
